ticker,entry_date,entry_price,stop_loss,take_profit,tech_score,signals,exit_date,exit_price,pnl_pct,status,hold_days,max_drawdown_pct,max_favorable_pct
TXN,2025-11-25,161.77,152.6486,180.0129,7.6,"20MA눌림목, BB하단반등, 강세다이버전스",2025-12-03,180.0129,11.227,take_profit,5,0.0,13.1236
EXC,2025-11-26,46.57,44.78,50.15,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, MACD상향, 스토캐스틱크로스",2025-12-03,44.78,-3.8937,stop_loss,4,-5.0462,1.2884
COST,2025-11-26,908.26,878.4857,967.8086,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스",2025-12-08,887.52,-2.3335,expired,7,-2.7922,1.9884
ADSK,2025-11-26,301.38,286.1057,331.9286,8.1,"20MA눌림목, 50MA눌림목, MACD상향, 거래량3.1x",2025-12-08,301.39,-0.0467,expired,7,-0.9125,3.7295
CEG,2025-11-26,359.09,321.3478,434.5743,8.1,"20MA눌림목, 50MA눌림목, MACD상향",2025-12-08,357.67,-0.4454,expired,7,-1.4175,4.2775
SHOP,2025-11-26,159.34,144.3723,189.2754,8.1,"20MA눌림목, 50MA눌림목, MACD상향",2025-12-08,158.41,-0.6337,expired,7,-6.4328,2.7802
COST,2025-11-28,913.59,884.5314,971.7072,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스, MACD상향",2025-12-08,884.5314,-3.2307,stop_loss,6,-3.3593,1.3934
CMCSA,2025-11-28,25.0141,23.86,27.3223,9.6,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-12-09,25.1078,0.3247,expired,7,-1.0865,5.2079
CTAS,2025-11-28,186.02,179.8186,198.4229,9.1,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스",2025-12-09,183.15,-1.5929,expired,7,-1.7579,0.5537
ROP,2025-11-28,446.22,430.0586,478.5429,8.6,"20MA눌림목, BB하단반등, 강세다이버전스",2025-12-09,440.64,-1.3005,expired,7,-1.562,0.7933
CEG,2025-11-28,364.36,329.441,434.198,8.1,"20MA눌림목, 50MA눌림목, 강세다이버전스",2025-12-09,359.15,-1.4799,expired,7,-2.8433,2.7692
FTNT,2025-12-01,81.82,77.7129,90.0343,8.6,"20MA눌림목, 50MA눌림목, MACD상향",2025-12-10,81.6,-0.3189,expired,7,-1.9311,6.4654
ABNB,2025-12-01,118.8,112.5201,131.3597,8.1,"20MA눌림목, 50MA눌림목, MACD상향",2025-12-10,127.57,7.3322,expired,7,-1.2037,8.4428
ADP,2025-12-01,255.84,247.1057,273.3086,7.1,"20MA눌림목, BB하단반등, 골든크로스, 스토캐스틱크로스",2025-12-10,259.34,1.318,expired,7,-0.5394,2.7048
ADBE,2025-12-01,322.85,307.5886,353.3729,6.1,"20MA눌림목, BB하단반등, MACD상향",2025-12-10,343.13,6.2316,expired,7,-1.4775,7.9727
SNPS,2025-12-01,438.29,409.3457,496.1786,5.97,"50MA눌림목, 돌파(10d_high_breakout), 거래량2.2x",2025-12-10,475.83,8.5151,expired,7,0.0,9.2085
LIN,2025-12-02,408.79,395.9771,434.4157,10.0,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-12-08,395.9771,-3.1843,stop_loss,4,-5.1396,0.5455
CRWD,2025-12-02,516.55,475.6844,598.2811,8.8,"20MA눌림목, 50MA눌림목, 거래량2.2x, 스토캐스틱크로스",2025-12-11,517.65,0.163,expired,7,-5.8562,2.5837
CSX,2025-12-02,34.97,33.6986,37.5129,8.1,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-11,37.15,6.1839,expired,7,0.0,6.6057
VRSK,2025-12-02,224.85,214.91,244.73,7.4,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-12-10,214.91,-4.4707,stop_loss,6,-4.95,1.0274
HON,2025-12-02,193.15,185.9871,207.4757,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-11,193.85,0.3124,expired,7,-1.7033,1.0614
PAYX,2025-12-03,113.39,109.1829,121.8043,8.61,"20MA눌림목, BB하단반등, 돌파(10d_high_breakout), 골든크로스, 스토캐스틱크로스, 스퀴즈돌파",2025-12-12,115.45,1.7667,expired,7,-2.0637,2.7868
CTAS,2025-12-03,184.71,178.6686,196.7929,8.6,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스",2025-12-12,187.53,1.4767,expired,7,-1.0936,2.4796
HON,2025-12-03,193.47,186.3457,207.7186,8.6,"20MA눌림목, 50MA눌림목, BB하단반등, MACD상향",2025-12-12,193.66,0.0482,expired,7,-1.8659,0.6461
KHC,2025-12-03,25.03,24.0721,26.9457,8.4,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열",2025-12-09,24.0721,-3.8768,stop_loss,4,-3.8354,0.4395
CRWD,2025-12-03,524.17,480.9044,610.7011,8.3,"20MA눌림목, 50MA눌림목, 거래량2.3x",2025-12-12,504.78,-3.7492,expired,7,-4.8477,1.0924
NVDA,2025-12-04,183.38,168.0929,213.9543,9.8,"20MA눌림목, 50MA눌림목, 강세다이버전스, 스토캐스틱크로스",2025-12-15,176.29,-3.9163,expired,7,-4.777,2.5194
ORLY,2025-12-04,99.51,95.8857,106.7586,9.1,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-09,95.8857,-3.6921,stop_loss,3,-6.3813,0.3417
ABNB,2025-12-04,120.82,114.5987,133.2626,7.6,"20MA눌림목, 50MA눌림목, 골든크로스",2025-12-15,131.81,9.0462,expired,7,-0.3476,9.4604
TTWO,2025-12-04,247.51,236.9514,268.6271,7.4,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-12-15,244.56,-1.2419,expired,7,-2.8322,1.5474
WDAY,2025-12-04,216.62,200.7414,248.3771,6.8,"20MA눌림목, BB하단반등, 강세다이버전스",2025-12-15,214.9,-0.844,expired,7,-0.8356,4.7133
MSFT,2025-12-05,483.16,461.8343,525.8114,8.1,"20MA눌림목, BB하단반등, MACD상향, 스토캐스틱크로스",2025-12-16,476.39,-1.4512,expired,7,-2.5416,1.8917
SBUX,2025-12-05,85.12,80.3886,94.5829,7.1,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-16,85.08,-0.097,expired,7,-3.7007,2.8665
TMUS,2025-12-05,209.63,202.1757,224.5386,7.1,"20MA눌림목, BB하단반등, 강세다이버전스, 스토캐스틱크로스",2025-12-09,202.1757,-3.6059,stop_loss,2,-4.9897,0.0334
CTAS,2025-12-05,186.75,180.91,198.43,6.6,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-16,187.62,0.4159,expired,7,-2.174,2.1794
TTD,2025-12-05,40.05,37.0837,45.9826,6.6,"20MA눌림목, 강세다이버전스",2025-12-11,37.0837,-7.4565,stop_loss,4,-8.1648,0.5993
KHC,2025-12-08,24.51,23.5627,26.4046,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-17,24.75,0.9292,expired,7,-1.7952,1.7952
HON,2025-12-08,191.99,185.5929,204.7843,9.1,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-17,199.89,4.0648,expired,7,-1.1094,5.4534
MELI,2025-12-08,2088.3601,1938.1316,2388.8171,8.4,"20MA눌림목, 50MA눌림목, 이평정배열",2025-12-16,1938.1316,-7.2436,stop_loss,6,-8.7236,0.1738
CRWD,2025-12-08,515.19,475.3273,594.9154,7.3,"20MA눌림목, 50MA눌림목, 스토캐스틱크로스",2025-12-17,475.3273,-7.7875,stop_loss,7,-8.8036,2.8545
PEP,2025-12-08,145.63,141.2343,154.4214,7.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-17,150.08,3.0057,expired,7,-1.1811,4.6144
CTAS,2025-12-09,183.15,177.4614,194.5271,9.6,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스",2025-12-18,194.5271,6.1619,take_profit,7,-0.2512,7.0434
AEP,2025-12-09,116.07,112.1814,123.8471,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-18,115.58,-0.4722,expired,7,-2.0591,0.5083
TTWO,2025-12-09,248.73,239.0557,268.0786,7.4,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-12-18,246.65,-0.8862,expired,7,-3.3973,0.583
BKR,2025-12-09,47.69,44.9457,53.1786,7.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-16,44.9457,-5.8044,stop_loss,5,-6.5422,0.9855
MSFT,2025-12-09,492.02,472.86,530.34,7.1,"20MA눌림목, 50MA눌림목",2025-12-15,472.86,-3.9442,stop_loss,4,-3.9633,0.0
FAST,2025-12-10,40.93,39.4014,43.9871,10.0,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열, 스토캐스틱크로스",2025-12-19,42.35,3.4193,expired,7,0.0,5.5461
KHC,2025-12-10,24.35,23.4227,26.2046,9.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-19,24.51,0.6071,expired,7,-0.4517,2.5873
MAR,2025-12-10,286.96,273.2386,314.4028,8.8,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-19,310.16,8.0348,expired,7,-0.6586,8.6179
CPRT,2025-12-10,39.19,37.5529,42.4643,8.6,"20MA눌림목, BB하단반등, 강세다이버전스, MACD상향",2025-12-19,39.07,-0.3562,expired,7,-1.582,0.8931
GILD,2025-12-10,121.34,116.0443,131.9314,8.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-19,124.29,2.3812,expired,7,-2.6125,4.063
HON,2025-12-11,193.85,188.4043,204.7414,9.6,"20MA눌림목, 50MA눌림목, BB하단반등, 강세다이버전스",2025-12-22,195.96,1.0385,expired,7,-0.6913,4.4416
FTNT,2025-12-11,82.47,78.34,90.73,8.4,"20MA눌림목, 50MA눌림목, 이평정배열",2025-12-22,81.74,-0.9352,expired,7,-4.729,0.4365
KHC,2025-12-11,24.39,23.4627,26.2446,7.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-22,24.15,-1.034,expired,7,-1.189,2.419
EA,2025-12-11,203.66,202.0971,206.7857,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 이평정배열",2025-12-22,203.79,0.0138,expired,7,-0.3192,0.4125
ADSK,2025-12-11,300.93,285.3514,332.0871,7.1,"20MA눌림목, 50MA눌림목, 스토캐스틱크로스",2025-12-22,300.47,-0.2029,expired,7,-3.0073,0.9504
LIN,2025-12-12,416.24,401.6514,445.4171,8.2,"20MA눌림목, 50MA눌림목, 돌파(10d_high_breakout), 거래량1.6x",2025-12-23,425.1,2.0786,expired,7,-1.4991,2.1838
KHC,2025-12-12,24.45,23.5649,26.2203,7.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-23,23.7,-3.1175,expired,7,-3.4765,2.1677
CCEP,2025-12-12,90.8,87.8971,96.6057,7.3,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-23,91.57,0.798,expired,7,0.0,2.8855
SBUX,2025-12-12,85.35,81.3014,93.4471,6.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-23,83.86,-1.7958,expired,7,-2.3081,6.1277
ROP,2025-12-12,445.86,433.9657,469.6486,6.6,"20MA눌림목, BB하단반등, 거래량2.0x",2025-12-23,449.34,0.7305,expired,7,-1.3524,2.0074
BKR,2025-12-15,46.89,44.3929,51.8843,8.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-18,44.3929,-5.3755,stop_loss,3,-5.6089,0.0
TTWO,2025-12-15,244.56,236.1429,261.3943,8.1,"20MA눌림목, 50MA눌림목, BB하단반등, 스토캐스틱크로스",2025-12-24,251.6,2.8286,expired,7,-1.7501,2.9277
KHC,2025-12-15,24.5,23.627,26.246,7.8,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-23,23.627,-3.6133,stop_loss,6,-3.6735,1.9592
SBUX,2025-12-15,85.4,81.3314,93.5371,7.3,"20MA눌림목, 50MA눌림목, BB하단반등",2025-12-24,84.57,-1.0219,expired,7,-2.3653,6.0656
CEG,2025-12-15,357.14,329.172,413.076,7.1,"20MA눌림목, 50MA눌림목",2025-12-24,363.95,1.8568,expired,7,-6.4289,4.1608
PYPL,2025-12-16,61.33,58.114,67.762,10.0,"20MA눌림목, BB하단반등, 강세다이버전스, 골든크로스, 스토캐스틱크로스",2025-12-26,59.97,-2.2675,expired,7,-4.1252,1.761
CCEP,2025-12-16,92.11,89.3729,97.5843,8.6,"20MA눌림목, 50MA눌림목, BB하단반등, 골든크로스, MACD상향",2025-12-26,91.69,-0.506,expired,7,-1.0965,1.4222
CDW,2025-12-16,145.02,138.33,158.4,8.4,"20MA눌림목, 50MA눌림목, 이평정배열",2025-12-23,138.33,-4.6632,stop_loss,5,-4.9924,0.7792
CEG,2025-12-16,365.625,337.4213,422.0324,8.4,"20MA눌림목, 50MA눌림목, 이평정배열, 스토캐스틱크로스",2025-12-17,337.4213,-7.7638,stop_loss,1,-8.6003,1.7436
MSFT,2025-12-16,476.39,459.34,510.49,8.1,"20MA눌림목, BB하단반등, 강세다이버전스",2025-12-26,487.71,2.3262,expired,7,-0.2918,2.7729
